"log_entry","log_level"
"17/03/23 15:03:22 INFO BlockManagerInfo: Added broadcast_6_piece333 in memory on mesos-slave-23:38893 (size: 4.0 MB, free: 13.2 GB)","INFO"
"17/06/09 21:39:15 INFO storage.BlockManager: Found block rdd_6512_39 locally","INFO"
"17/06/09 13:32:21 INFO executor.Executor: Finished task 13.0 in stage 16143.0 (TID 646176). 2667 bytes result sent to driver","INFO"
"17/06/09 15:56:52 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 80744","INFO"
"17/06/09 22:15:38 INFO storage.BlockManager: Removing RDD 8056","INFO"
"17/06/08 22:15:23 INFO executor.Executor: Finished task 12.0 in stage 21644.0 (TID 865818). 2206 bytes result sent to driver","INFO"
"17/06/08 21:07:04 INFO storage.BlockManager: Removing RDD 13409","INFO"
"17/06/08 14:08:25 INFO spark.CacheManager: Partition rdd_3426_4 not found, computing it","INFO"
"17/06/08 21:21:44 INFO executor.Executor: Finished task 20.0 in stage 16377.0 (TID 655143). 2364 bytes result sent to driver","INFO"
"17/06/09 10:09:48 INFO python.PythonRunner: Times: total = 39, boot = -10, init = 49, finish = 0","INFO"
